DATA: 5885 x 16
Ep!
Feature 0
0.0583348	rho[14][8]
0.0433332	rho[14][4]
-0.0418571	rho[14][2]
0.0281705	rho[14][1]
-0.0272568	rho[14][11]
-0.0266633	rho[14][12]
0.00474638	rho[14][10]

Feature 15
0.225201	rho[15][8]
-0.193871	rho[15][0]
0.192491	rho[15][6]
0.156936	rho[15][5]
-0.11222	rho[15][1]
-0.0951931	rho[15][9]
-0.0790946	rho[15][11]
0.0781553	rho[15][7]
-0.073691	rho[15][14]
-0.0711192	rho[15][2]
0.0550823	rho[15][13]
-0.0515551	rho[15][12]
-0.030339	rho[15][10]
0.0107669	rho[15][3]
-0.00778473	rho[15][4]

